ax_sum,ay_sum,az_sum,gx_sum,gy_sum,gz_sum,a_sum,g_sum,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,a_var,g_var,ax_min,ay_min,az_min,gx_min,gy_min,gz_min,a_min,g_min,ax_max,ay_max,az_max,gx_max,gy_max,gz_max,a_max,g_max,motion_state
-0.0039289,-0.093080536,9.789348786,-0.002649356,0.001405582,-0.001390532,9.797417966,0.022554307,8.05E-07,1.32E-07,3.27E-08,2.37E-09,6.96E-10,7.45E-10,3.33E-08,6.88E-10,-0.001538891,-0.001109195,0.023868563,-0.000178244,-6.96E-05,-8.22E-05,0.023871351,2.97E-06,0.001495933,0.000543722,0.024992149,0.000110097,7.51E-05,7.79E-05,0.024996797,0.000187388,rest
-0.000966006,-0.092416995,9.789095275,-0.001806166,0.000103265,-0.001943395,9.798814548,0.021731478,1.03E-06,1.07E-07,1.53E-08,2.24E-09,6.53E-10,6.98E-10,1.59E-08,6.79E-10,-0.001752464,-0.001024596,0.024145663,-0.000141025,-8.02E-05,-8.98E-05,0.024152693,5.79E-06,0.001865197,0.000614523,0.024827719,0.000124212,9.80E-05,8.98E-05,0.024829468,0.000144261,rest
-0.008014186,0.037065936,9.792780168,-0.001129262,0.001206916,0.005839836,9.805465208,0.024406653,1.13E-06,4.23E-07,3.11E-08,2.21E-09,7.50E-10,1.25E-09,3.36E-08,7.07E-10,-0.002861214,-0.001183486,0.023737323,-0.00011934,-8.58E-05,-0.00010848,0.023738488,3.38E-06,0.0030094,0.002097405,0.025013707,0.000142295,8.45E-05,0.000110939,0.02512512,0.00014396,straight
-0.097655053,0.286080809,9.781134558,-0.000959892,0.002517767,0.076946463,9.792874407,0.080407505,7.99E-07,6.87E-08,1.57E-08,2.26E-09,7.36E-10,5.09E-09,1.61E-08,4.73E-09,-0.002123008,0.000160834,0.024092081,-0.000167847,-8.28E-05,1.33E-05,0.024121833,5.24E-05,0.00154594,0.001457462,0.024821615,0.000130687,9.31E-05,0.000349719,0.024838792,0.000351388,turn
-0.239673072,0.288418377,9.779307201,-0.001625322,0.005648434,0.157406861,9.794137332,0.158929756,8.24E-07,1.14E-07,6.73E-08,2.00E-09,7.65E-10,2.70E-09,6.81E-08,2.66E-09,-0.002583631,-0.000123706,0.023622475,-0.00012381,-8.18E-05,0.00022576,0.023709518,0.000233175,0.00138707,0.001681481,0.025347168,0.000134092,9.46E-05,0.000500143,0.025438874,0.000503896,turn
-0.168081884,0.343079865,9.792909629,0.002242744,-8.97E-05,0.130825554,9.808114177,0.132935219,8.02E-07,1.56E-07,1.08E-07,2.22E-09,8.36E-10,8.36E-09,1.12E-07,7.97E-09,-0.002327884,-0.00022878,0.023492327,-0.000132665,-8.67E-05,0.000103995,0.023497232,0.00010858,0.001696616,0.001948889,0.025386269,0.00014307,8.59E-05,0.000491403,0.025430627,0.000493374,turn
0.14641307,0.168953742,9.794559283,0.000508908,-0.001151938,-0.079589728,9.809845168,0.09381573,1.17E-06,3.92E-07,1.52E-07,2.31E-09,1.62E-09,3.31E-08,1.52E-07,2.16E-08,-0.002081643,-0.001414481,0.023465817,-0.000138886,-0.000123981,-0.000604991,0.023495708,1.66E-05,0.003030055,0.001621356,0.025520313,0.000152517,9.16E-05,0.000156283,0.025549934,0.000605644,turn
0.409236287,-0.083986768,9.791940451,0.003093783,0.003238421,-0.320164713,9.810689029,0.321045127,8.91E-07,3.15E-07,1.48E-07,2.22E-09,1.13E-09,9.88E-09,1.44E-07,9.82E-09,-0.001251653,-0.001885533,0.023464935,-0.000147596,-8.48E-05,-0.00096501,0.023480769,0.000521662,0.003752704,0.001265539,0.025480456,0.00014022,0.00011174,-0.000517908,0.025498009,0.000968719,turn
0.145180505,0.121420128,9.798718786,0.005486254,0.009928588,-0.299063539,9.808303222,0.300043043,7.05E-07,2.49E-07,9.31E-08,2.09E-09,7.13E-10,1.02E-08,9.35E-08,1.02E-08,-0.001522306,-0.00142802,0.023694222,-0.000103902,-5.10E-05,-0.000955574,0.023719062,0.000463976,0.002367917,0.001354242,0.025338702,0.000123251,0.000108238,-0.000455677,0.025339044,0.000955789,turn
-0.106266269,0.213415833,9.791179872,0.014284015,-0.002544005,-0.128292237,9.80066534,0.131017241,6.67E-07,1.44E-07,7.15E-08,1.94E-09,9.74E-10,7.03E-09,7.33E-08,6.84E-09,-0.002050363,-0.000357696,0.02384526,-9.12E-05,-8.78E-05,-0.000542153,0.023866026,0.000186377,0.001768203,0.001491902,0.025183957,0.00016918,8.76E-05,-0.000180997,0.02520773,0.000546291,turn
-0.160041507,0.369794614,9.810206001,0.003072075,-0.001956605,-0.067693328,9.831211156,0.071434503,1.35E-06,2.26E-07,1.25E-07,2.28E-09,7.89E-10,2.41E-09,1.34E-07,2.30E-09,-0.003186193,-0.000490082,0.02365567,-0.000115786,-7.82E-05,-0.000302296,0.023715624,5.27E-05,0.001790092,0.002193875,0.025616343,0.000132974,6.68E-05,-2.84E-05,0.025682321,0.000302398,turn
-0.13645674,0.705750174,9.779639413,-0.000589006,-0.002685152,-0.024625354,9.819283928,0.032405646,6.33E-07,1.00E-06,1.49E-07,2.07E-09,7.23E-10,7.90E-10,1.55E-07,8.46E-10,-0.002510977,-0.000319337,0.023405616,-0.000139445,-8.69E-05,-0.000129361,0.023485755,1.35E-05,0.001683542,0.00392218,0.025220447,0.000178546,8.38E-05,1.67E-05,0.025442891,0.000216477,straight
-0.09539318,0.960349882,9.776015189,-0.002603449,5.28E-05,-0.029918359,9.828257719,0.036854974,4.19E-07,1.64E-07,9.13E-08,2.07E-09,7.80E-10,7.65E-10,9.28E-08,7.58E-10,-0.001789367,0.001329518,0.023878314,-0.000130482,-7.70E-05,-0.000188213,0.023964198,2.52E-05,0.001584083,0.003443956,0.025587957,0.000116099,7.37E-05,2.60E-05,0.025667861,0.000190856,straight
-0.125813417,0.973440658,9.76307267,-0.004500974,0.005654317,-0.027131797,9.820910593,0.038215179,8.49E-07,2.23E-07,1.60E-07,2.47E-09,1.85E-09,9.59E-10,1.71E-07,1.06E-09,-0.002611576,0.001004848,0.023416786,-0.000153564,-9.48E-05,-0.000192944,0.023462751,1.57E-05,0.002027055,0.003681107,0.025537212,0.000131663,0.0001196,2.13E-05,0.025717543,0.000199193,straight
-0.221558445,0.760490973,9.783254673,-0.00126116,0.002148721,-0.019906633,9.846478038,0.033096479,1.79E-06,2.06E-06,5.10E-07,2.36E-09,1.32E-09,1.58E-09,5.16E-07,9.15E-10,-0.004370335,-0.002578991,0.021736071,-0.000143513,-0.000115503,-0.000140108,0.021745389,1.14E-05,0.002932459,0.006164619,0.027403257,0.000142846,0.000101257,6.83E-05,0.027578905,0.000166578,straight
-0.257734797,0.6611896,9.783717153,-0.002553128,-1.03E-06,0.000742752,9.821267479,0.023083029,6.16E-07,8.52E-07,3.17E-07,2.12E-09,9.58E-10,9.56E-10,3.28E-07,7.38E-10,-0.003084176,-0.000822918,0.022932439,-0.000143554,-9.87E-05,-0.000107706,0.022962048,8.01E-06,0.001532953,0.004257957,0.02672575,0.000108317,0.00010575,0.000105452,0.027054248,0.000152203,straight
-0.268888198,0.72212968,9.76619982,-0.005338911,-0.000984982,0.001686912,9.808977887,0.023907786,1.10E-06,4.31E-07,1.44E-07,2.17E-09,1.05E-09,8.57E-10,1.47E-07,6.97E-10,-0.003456891,0.000183582,0.023354313,-0.000135489,-9.57E-05,-7.47E-05,0.023514506,8.39E-06,0.001955286,0.003352945,0.025410614,0.000132672,8.72E-05,9.51E-05,0.025519157,0.000157715,straight
-0.313905353,0.630294451,9.743384273,-0.005995512,-0.005638253,0.007709515,9.792527763,0.027210798,1.48E-06,1.46E-06,5.88E-07,2.43E-09,1.36E-09,8.27E-10,6.15E-07,7.75E-10,-0.003813369,-0.002048229,0.021491275,-0.000149179,-0.000117105,-8.06E-05,0.021539008,1.15E-05,0.003226296,0.005059233,0.02637419,0.000165876,0.000114489,9.28E-05,0.0265695,0.000177833,straight
-0.137416737,0.524489334,9.786237967,-0.00351746,-0.009027165,0.00635352,9.835310624,0.027658788,1.54E-06,2.68E-06,1.02E-06,2.86E-09,1.22E-09,8.79E-10,1.04E-06,1.01E-09,-0.003655647,-0.004087218,0.022373729,-0.000169221,-0.000132345,-6.08E-05,0.022517992,8.79E-06,0.00296703,0.005072899,0.02723604,0.000141744,8.77E-05,0.000102252,0.027488505,0.000182034,straight
-0.130660829,0.264978724,9.777583346,-0.003043026,-0.00671684,0.001988474,9.806573209,0.025488963,1.50E-06,1.58E-06,5.29E-07,2.44E-09,1.16E-09,8.95E-10,5.98E-07,7.94E-10,-0.004257402,-0.002577971,0.022623618,-0.000165217,-0.000113286,-9.21E-05,0.022642065,6.85E-06,0.002750522,0.00554325,0.026809409,0.000143819,8.90E-05,8.52E-05,0.027413255,0.000169488,straight
0.099653847,-0.080294002,9.845715065,-0.002045695,-0.014319663,-0.005367793,9.877774633,0.031050365,1.66E-06,2.19E-06,7.11E-07,3.68E-09,1.17E-09,7.86E-10,7.07E-07,1.08E-09,-0.002921593,-0.003515603,0.022480574,-0.000180975,-0.000133354,-9.75E-05,0.022596718,1.36E-05,0.003377496,0.003588772,0.026869171,0.00013198,4.86E-05,9.05E-05,0.027034608,0.000181105,straight
0.162817826,-0.142308952,9.719239538,-0.011829589,-0.007543885,-0.007265199,9.742812276,0.02910924,1.26E-06,1.32E-06,4.66E-07,2.68E-09,1.20E-09,9.16E-10,4.64E-07,1.05E-09,-0.002946691,-0.003817592,0.022653151,-0.000180185,-0.00012733,-0.000105228,0.022725834,4.02E-06,0.003623283,0.002497134,0.026231825,0.0001035,8.06E-05,9.69E-05,0.026252932,0.000186332,straight
0.14267868,-0.117394926,9.813826363,0.002898332,-0.007100012,0.003372889,9.843464998,0.029566883,1.60E-06,1.83E-06,5.46E-07,3.64E-09,1.72E-09,7.96E-10,5.36E-07,1.12E-09,-0.003221817,-0.003814846,0.022933431,-0.000178579,-0.000142604,-8.36E-05,0.023044245,4.98E-06,0.002971052,0.002885615,0.026717558,0.000177283,8.00E-05,0.000102025,0.026812862,0.000208698,straight
0.09783489,-0.121100997,9.761259508,-0.007897042,-0.003269564,0.022690986,9.791134965,0.035342155,2.09E-06,1.42E-06,6.11E-07,2.49E-09,1.44E-09,1.39E-09,6.11E-07,1.18E-09,-0.003178253,-0.003082336,0.021968067,-0.00014862,-0.000151753,-6.14E-05,0.022118849,1.29E-05,0.003734249,0.002739003,0.02592828,0.000129376,8.36E-05,0.000150926,0.026104226,0.0001931,straight
-0.129698789,-0.149952083,9.794474452,-0.001351979,0.003716491,0.078076809,9.822060723,0.08328224,2.01E-06,1.13E-06,1.01E-06,2.61E-09,2.45E-09,4.01E-09,1.01E-06,3.91E-09,-0.003338113,-0.002963174,0.021641467,-0.00015026,-0.000126023,3.88E-05,0.021721907,7.67E-05,0.003097409,0.002639071,0.027838519,0.000130471,0.000140026,0.000348639,0.027928616,0.00036494,turn
-0.775982566,-0.224657377,9.803973346,0.008571476,-0.001021844,0.169797961,9.866756289,0.172776679,1.63E-06,2.04E-06,4.88E-07,4.45E-09,1.53E-09,3.42E-09,5.04E-07,3.46E-09,-0.004897735,-0.003502455,0.022490911,-0.000156797,-0.000134524,0.000262238,0.022722662,0.000268334,0.001041002,0.003382709,0.026251545,0.000175446,0.000146519,0.000555191,0.026469325,0.000586364,turn
-0.937893678,-0.217427231,9.832678041,0.006182987,0.020101205,0.209311677,9.93995328,0.213720054,5.75E-06,1.82E-06,1.23E-06,3.69E-09,5.54E-09,2.26E-09,1.31E-06,2.57E-09,-0.008924858,-0.004432666,0.021437054,-0.000113785,-0.000105571,0.000405747,0.021673593,0.000407338,0.003367075,0.003458513,0.027034266,0.000174262,0.000225745,0.000673156,0.027371415,0.000691779,turn
-1.326412757,-0.147058792,9.863909338,-0.000521969,0.011700843,0.245243828,9.998025309,0.24720653,3.54E-06,1.93E-06,1.12E-06,2.88E-09,2.38E-09,1.22E-09,1.06E-06,1.28E-09,-0.007672234,-0.003733579,0.022082303,-0.000141729,-0.000108056,0.000520442,0.022384227,0.000523284,0.001583948,0.003004526,0.027551203,0.00015917,0.000193682,0.000716504,0.027720926,0.000718916,turn
-1.231797802,-0.109940524,9.794049594,0.001226302,0.012736344,0.251753337,9.908246162,0.253876863,2.37E-06,2.27E-06,1.34E-06,3.27E-09,2.47E-09,1.01E-09,1.47E-06,1.04E-09,-0.007466593,-0.004867358,0.021756082,-0.000158072,-0.000110466,0.000537526,0.02213751,0.00054205,0.00068168,0.00370837,0.028038702,0.000163071,0.000142094,0.000736404,0.028520848,0.000745015,turn
-1.196583035,-0.040559319,9.737371192,-0.011565682,0.00982751,0.232833064,9.840200402,0.235766568,1.78E-06,1.94E-06,1.02E-06,4.87E-09,2.33E-09,1.07E-09,1.10E-06,1.10E-09,-0.006981527,-0.003095096,0.022004399,-0.000205141,-9.45E-05,0.000485778,0.022076892,0.000497249,0.000259233,0.003620249,0.027040329,0.000160869,0.000181809,0.000663556,0.027154527,0.000665768,turn
-1.30449044,0.116176426,9.754338174,-0.00910078,0.011227783,0.236508082,9.871860985,0.239218192,1.93E-06,1.86E-06,1.45E-06,5.10E-09,1.75E-09,8.10E-10,1.53E-06,8.88E-10,-0.007001439,-0.002898299,0.021687965,-0.000212874,-7.45E-05,0.000500001,0.022100647,0.000504978,0.001242327,0.00352351,0.027517567,0.000151698,0.000136491,0.000669174,0.028159866,0.000677575,turn
-1.157849162,0.17151318,9.772127142,-0.00325156,0.010951985,0.193850155,9.868734553,0.19718602,1.83E-06,1.61E-06,2.82E-06,5.19E-09,2.59E-09,7.55E-09,2.97E-06,7.97E-09,-0.0070728,-0.002744447,0.019466708,-0.000175726,-0.000104718,0.000250589,0.019678987,0.000254723,0.001309303,0.003926569,0.027644527,0.000227712,0.000154663,0.00065748,0.027869305,0.000664783,turn
-0.577500823,0.235095785,9.79457798,-0.000486091,0.007534586,0.067724268,9.831265336,0.074378568,1.39E-06,6.70E-07,4.12E-07,2.33E-09,2.16E-09,5.72E-09,3.98E-07,4.64E-09,-0.005128981,-0.001782833,0.022705417,-0.000119295,-7.67E-05,-1.38E-05,0.022746454,3.35E-05,0.002198655,0.002627559,0.026779571,0.000157692,0.000133898,0.000349849,0.026789153,0.000364399,turn
-0.523494022,0.324453375,9.831812263,0.001970622,-0.002347276,0.017107856,9.882220714,0.038022579,2.91E-06,9.57E-07,9.94E-07,3.49E-09,3.69E-09,1.20E-09,1.01E-06,1.20E-09,-0.005285405,-0.001848909,0.022112298,-0.000170406,-0.00017038,-6.66E-05,0.022430176,1.23E-05,0.003523619,0.003855336,0.026911075,0.000169255,0.000148673,0.000153448,0.027133621,0.000205356,straight
-0.33634321,-0.089080222,9.734520457,-0.010048714,0.00723983,0.005301334,9.788900317,0.03688365,3.58E-06,2.32E-06,6.13E-07,3.49E-09,5.39E-09,9.27E-10,6.16E-07,2.42E-09,-0.005681049,-0.004758489,0.022032831,-0.000208635,-0.000118956,-7.06E-05,0.022223886,1.03E-05,0.005420735,0.003332569,0.026992702,0.000120644,0.000227779,0.00010198,0.027019724,0.00025236,straight
-0.468333343,0.004766287,9.785808001,0.007085089,-0.004655108,0.009002306,9.8454027,0.03953805,4.20E-06,1.89E-06,1.00E-06,4.82E-09,4.79E-09,1.36E-09,1.14E-06,2.13E-09,-0.005486836,-0.003462406,0.021770494,-0.000158392,-0.000158273,-6.78E-05,0.021983728,7.90E-06,0.003176057,0.002813421,0.027578971,0.000192855,0.000154048,0.000125244,0.0280417,0.000245429,straight
-0.463066538,-0.093161816,9.770823531,-0.012679876,-0.005236305,0.004025947,9.798361925,0.030426001,1.45E-06,5.50E-07,3.35E-07,2.50E-09,2.11E-09,7.44E-10,3.56E-07,8.36E-10,-0.003747496,-0.001871073,0.023069952,-0.000189979,-0.000102736,-6.25E-05,0.02308924,4.76E-06,0.001598891,0.002011746,0.025910265,0.00014836,0.000101849,8.49E-05,0.026141943,0.000202369,straight
-0.331936756,-0.109212802,9.7779774,0.001439981,0.000436831,0.01543963,9.798388265,0.033290863,1.58E-06,1.67E-07,1.95E-07,2.42E-09,2.42E-09,1.46E-09,2.05E-07,8.63E-10,-0.003358038,-0.001336597,0.023036902,-0.000107624,-0.000123154,-7.77E-05,0.023070934,1.30E-05,0.002443794,0.000720688,0.02537071,0.000174388,0.000115149,0.000132687,0.025520841,0.000203142,straight
-0.397368786,0.307654251,9.821052833,0.002106208,0.008063611,0.018969991,9.845933534,0.033921773,1.23E-06,2.82E-07,2.23E-07,2.71E-09,1.92E-09,9.20E-10,2.49E-07,1.04E-09,-0.003342235,-0.00071328,0.023346965,-0.000148125,-9.19E-05,-2.73E-05,0.023349382,8.20E-06,0.001888611,0.001954383,0.025540524,0.000139322,0.000134356,0.000137758,0.025652264,0.000192991,straight
-0.464012576,0.524367866,9.693286533,-0.009560395,0.007589456,0.002196338,9.740348387,0.034854158,1.94E-06,7.07E-07,7.61E-07,3.57E-09,2.87E-09,1.48E-09,7.46E-07,1.26E-09,-0.004302176,-0.001098393,0.022249856,-0.000213187,-0.00012425,-0.000117764,0.022425137,1.25E-05,0.002100462,0.003223836,0.026483169,0.000159625,0.000176989,0.000106063,0.02664675,0.000223593,straight
-0.225657194,0.726932239,9.811437342,0.005224791,-0.010226395,-0.032415201,9.857808627,0.04618301,1.49E-06,6.52E-07,7.52E-07,3.34E-09,2.59E-09,1.16E-09,8.08E-07,1.13E-09,-0.003982863,0.000153737,0.022791481,-0.000162955,-0.000165936,-0.000183839,0.022808475,2.09E-05,0.00264427,0.004100573,0.026653302,0.000171114,0.000104815,1.72E-05,0.0268746,0.000251103,straight
0.135327939,0.709528198,9.80267036,-0.001986459,-0.011195228,-0.080737747,9.870968459,0.090381087,3.80E-06,1.36E-06,5.25E-07,3.40E-09,6.16E-09,2.96E-09,5.30E-07,2.99E-09,-0.004177851,-0.00054773,0.022265193,-0.000166669,-0.000202328,-0.000324409,0.02229244,7.21E-05,0.003925959,0.004405561,0.025895009,0.000158079,0.000186916,-5.05E-05,0.0261336,0.000333754,turn
0.382606031,0.678554891,9.808306642,0.005006142,-0.000214752,-0.12396311,9.864163888,0.128325282,1.99E-06,1.19E-06,1.20E-06,4.48E-09,2.49E-09,2.42E-09,1.30E-06,2.66E-09,-0.003465291,-0.001164328,0.020541739,-0.000160743,-0.000139028,-0.000422657,0.020608934,0.000201536,0.005597536,0.004587957,0.026877921,0.000238884,0.000126131,-0.000195567,0.027210519,0.000460958,turn
0.666721227,0.421770849,9.768814194,-0.009831332,-0.015631472,-0.175188313,9.858041405,0.178944854,3.55E-06,3.69E-06,9.20E-07,3.68E-09,2.53E-09,1.41E-09,1.09E-06,1.42E-09,-0.002805386,-0.003005208,0.022227523,-0.000183862,-0.000187282,-0.000529315,0.02238928,0.000327434,0.008386071,0.00500679,0.027625821,0.000156362,0.000109598,-0.00032438,0.028831503,0.000552185,turn
0.83373505,0.239146657,9.806395495,0.011003495,-0.004483502,-0.188160613,9.923787138,0.192667146,5.44E-06,4.53E-06,1.77E-06,5.01E-09,5.14E-09,1.73E-09,1.95E-06,2.00E-09,-0.004072859,-0.007674545,0.021730602,-0.000176392,-0.000169244,-0.000598878,0.021968725,0.000355172,0.008945827,0.006929368,0.027923939,0.000228863,0.000250679,-0.000349037,0.028923298,0.000609094,turn
1.037640237,0.395001725,9.821039834,-0.007358242,-0.004726403,-0.214588362,9.989920636,0.220622637,5.37E-06,8.63E-06,3.82E-06,1.14E-08,4.56E-09,2.59E-09,4.58E-06,2.53E-09,-0.004414588,-0.008382494,0.019947257,-0.000223141,-0.000202492,-0.000675201,0.020029104,0.00041038,0.009556353,0.009583468,0.033101346,0.000252221,0.000175025,-0.00040118,0.034042345,0.000683306,turn
0.988860196,0.438623415,9.757586007,0.001334436,-0.006454736,-0.216096649,9.860739875,0.21833394,3.10E-06,2.31E-06,7.08E-07,3.03E-09,2.75E-09,3.77E-09,7.72E-07,3.74E-09,-0.002486074,-0.001938803,0.022093992,-0.000164136,-0.000147834,-0.000683744,0.022105083,0.00037818,0.00645314,0.004996493,0.026682107,0.000169255,0.00013949,-0.000376999,0.026981405,0.000683936,turn
0.59142057,0.358734038,9.866889565,0.006208211,0.001294851,-0.131426033,9.929144852,0.1372208,2.64E-06,2.16E-06,1.34E-06,6.59E-09,2.94E-09,3.69E-09,1.44E-06,3.77E-09,-0.001912427,-0.003889371,0.021170399,-0.000162877,-0.00012112,-0.000505149,0.021653412,0.000208169,0.007387543,0.004099854,0.02755389,0.000243556,0.000141125,-0.000201006,0.027747785,0.000506264,turn
0.182749717,0.218510046,9.800383627,0.00196889,0.003519409,-0.063297535,9.826516692,0.068602367,1.20E-06,1.54E-06,4.67E-07,2.87E-09,1.23E-09,1.64E-09,4.84E-07,1.44E-09,-0.002051111,-0.002816712,0.022666881,-0.000129808,-8.87E-05,-0.000294622,0.022698395,6.41E-05,0.003559646,0.003452554,0.026239307,0.000165936,0.000105631,-5.25E-05,0.026297532,0.000301016,turn
-0.186630288,-0.098616108,9.775141313,-0.003324673,0.002612565,-0.023928654,9.802787381,0.03505371,1.77E-06,1.34E-06,4.08E-07,2.63E-09,1.38E-09,1.00E-09,4.01E-07,1.01E-09,-0.003812763,-0.003391797,0.022660916,-0.000166118,-8.66E-05,-0.000151828,0.022790035,1.69E-05,0.002882867,0.003133308,0.026554368,0.000141092,0.00010271,2.65E-05,0.026565914,0.000193249,straight
-0.322303065,-0.198821861,9.818934715,-0.008195427,-0.010842767,-0.00223054,9.901414897,0.043228073,4.41E-06,4.86E-06,1.07E-06,6.29E-09,5.27E-09,1.46E-09,1.04E-06,2.49E-09,-0.005459759,-0.00483274,0.021764653,-0.000254363,-0.000196222,-9.81E-05,0.021794237,7.77E-06,0.005519145,0.005805196,0.027390018,0.000144728,0.000252865,8.64E-05,0.027650021,0.000280923,straight
-0.301214488,-0.723810951,9.794239795,-0.002324585,7.42E-05,0.020998956,9.877069208,0.047131305,4.70E-06,1.59E-06,9.01E-07,4.45E-09,6.29E-09,2.12E-09,8.61E-07,1.80E-09,-0.005412917,-0.00522339,0.021614523,-0.000179414,-0.000219628,-6.18E-05,0.022405439,1.38E-05,0.004834628,0.001850544,0.027171373,0.000184476,0.000196043,0.000160255,0.027737746,0.000231115,straight
-0.420588798,-0.875471827,9.803461251,-0.001736868,-0.006496579,0.073958537,9.879965579,0.079231674,2.05E-06,1.43E-06,8.58E-07,3.30E-09,1.51E-09,1.19E-09,7.89E-07,1.19E-09,-0.005843792,-0.00566451,0.021745887,-0.00017466,-0.000112679,7.22E-05,0.022197845,9.79E-05,0.003023754,0.001048233,0.028606069,0.000129309,0.00012577,0.000280801,0.02887822,0.000307983,turn
-0.295389197,-1.020687792,9.756870196,-0.012016796,0.005243216,0.068781259,9.831628868,0.073909883,1.44E-06,6.44E-07,8.33E-07,2.53E-09,1.05E-09,1.03E-09,8.30E-07,1.13E-09,-0.003369368,-0.004598407,0.021843088,-0.000175327,-7.04E-05,7.54E-05,0.02190074,9.43E-05,0.003250458,-0.000307165,0.026514306,0.000132628,0.00011206,0.000252504,0.026797635,0.000277175,turn
-0.28115158,-0.51413036,9.785878663,-0.01061304,-0.000627875,0.048719632,9.817914311,0.055266422,1.21E-06,5.66E-07,1.52E-07,2.22E-09,1.45E-09,8.67E-10,1.47E-07,9.89E-10,-0.003063344,-0.003219131,0.023096256,-0.000153396,-0.000104833,4.01E-05,0.023295682,5.88E-05,0.001966383,0.000543129,0.02543793,0.000101741,0.000105217,0.000193931,0.025549692,0.000227386,turn
-0.318275409,0.032861081,9.766120622,-0.012187619,-0.001276806,0.076287507,9.784793448,0.081238892,1.18E-06,4.74E-07,1.75E-07,2.27E-09,1.35E-09,7.59E-09,1.79E-07,7.26E-09,-0.00345786,-0.002155869,0.023040545,-0.000138126,-0.000117354,4.44E-05,0.023116629,6.14E-05,0.001572518,0.001994005,0.025535161,0.000102784,9.17E-05,0.000386931,0.025606013,0.000403223,turn
-0.616484619,-0.131395234,9.780054297,-0.021432654,0.010510125,0.211718313,9.81345437,0.214565565,1.15E-06,4.71E-07,1.73E-07,2.28E-09,1.14E-09,1.97E-08,1.80E-07,1.91E-08,-0.003742201,-0.001634888,0.023335171,-0.000174731,-6.33E-05,0.000311084,0.02337262,0.000318348,0.001682513,0.002040347,0.02558625,8.89E-05,0.000121463,0.000806827,0.02579321,0.000813133,turn
